,id,position,name,age_years,gender,country,sector,corp.,worth_busd,image
0,6448,1,Jeff Bezos,54,Male,United States,Technology ,Amazon,112.0,https://specials-images.forbesimg.com/imageserve/5a8d920d31358e4955adf197/416x416.jpg?background=000000&cropX1=755&cropX2=2357&cropY1=494&cropY2=2097
1,3509,2,Bill Gates,62,Male,United States,Technology ,Microsoft,90.0,https://specials-images.forbesimg.com/imageserve/5a942b7b31358e79a28a452b/416x416.jpg?background=000000&cropX1=285&cropX2=3498&cropY1=146&cropY2=3360
2,3062,3,Warren Buffett,87,Male,United States,Finance And Investments ,Berkshire Hathaway,84.0,https://specials-images.forbesimg.com/imageserve/5a8d9b3a31358e4955adf300/416x416.jpg?background=000000&cropX1=378&cropX2=2650&cropY1=52&cropY2=2322
3,5964,4,Bernard Arnault,69,Male,None,Fashion & Retail ,Lvmh,72.0,https://specials-images.forbesimg.com/imageserve/5a7de808a7ea431690131adf/416x416.jpg?background=000000&cropX1=125&cropX2=2852&cropY1=11&cropY2=2736
4,1044,5,Mark Zuckerberg,33,Male,None,Technology ,Facebook,71.0,https://specials-images.forbesimg.com/imageserve/59d5062131358e542c034eb7/416x416.jpg?background=000000&cropX1=419&cropX2=1409&cropY1=53&cropY2=1044
5,1005,6,Amancio Ortega,82,Male,None,Fashion & Retail ,Zara,70.0,https://specials-images.forbesimg.com/imageserve/5a810ce6a7ea431690133fe6/416x416.jpg?background=000000&cropX1=250&cropX2=2266&cropY1=4&cropY2=2019
6,6940,7,Carlos Slim Helu,78,Male,None,Telecom ,Telecom,67.1,https://specials-images.forbesimg.com/imageserve/5a7fcad931358e4955ad21fc/416x416.jpg?background=000000&cropX1=247&cropX2=2010&cropY1=226&cropY2=1990
7,2429,8,Charles Koch,82,Male,None,Diversified ,Koch Industries,60.0,https://specials-images.forbesimg.com/imageserve/5638b4b5e4b0ffa7afe69a7f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=53&cropY2=797
8,6977,9,David Koch,78,Male,United States,Diversified ,Koch Industries,60.0,https://specials-images.forbesimg.com/imageserve/5a8d901531358e4955adf139/416x416.jpg?background=000000&cropX1=0&cropX2=2400&cropY1=81&cropY2=2481
9,6405,10,Larry Ellison,73,None,None,Technology ,Software,58.5,https://specials-images.forbesimg.com/imageserve/5a8d9263a7ea431690140251/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=197&cropY2=2198
10,6065,11,Michael Bloomberg,76,Male,United States,Media & Entertainment ,Bloomberg Lp,50.0,https://specials-images.forbesimg.com/imageserve/58c1d278a7ea431f321add1f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784
11,2163,12,Larry Page,45,Male,United States,Technology ,Google,48.8,https://specials-images.forbesimg.com/imageserve/59d5098d4bbe6f37dd9ff6bc/416x416.jpg?background=000000&cropX1=1176&cropX2=2904&cropY1=222&cropY2=1950
12,2242,13,Sergey Brin,44,None,Usa,Technology ,Google,47.5,https://specials-images.forbesimg.com/imageserve/5a8d93da31358e4955adf1c9/416x416.jpg?background=000000&cropX1=1399&cropX2=3806&cropY1=290&cropY2=2695
13,2589,14,Jim Walton,70,Male,None,Fashion & Retail ,Walmart,46.4,https://specials-images.forbesimg.com/imageserve/56d1b7cce4b0c144a7f6639f/416x416.jpg?background=000000&cropX1=110&cropX2=516&cropY1=35&cropY2=441
14,8171,15,S. Robson Walton,73,Male,None,Fashion & Retail ,Walmart,46.2,https://specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=207&cropX2=1915&cropY1=82&cropY2=1791
15,3995,16,Alice Walton,68,Female,United States,Fashion & Retail ,Walmart,46.0,https://specials-images.forbesimg.com/imageserve/59d50b364bbe6f37dd9ff759/416x416.jpg?background=000000&cropX1=97&cropX2=1126&cropY1=114&cropY2=1143
16,8082,17,Ma Huateng,46,None,China,Technology ,Internet Media,45.3,https://specials-images.forbesimg.com/imageserve/5a7cdf46a7ea431690130bf0/416x416.jpg?background=000000&cropX1=1094&cropX2=3921&cropY1=6&cropY2=2832
17,6213,18,Francoise Bettencourt Meyers,64,Female,None,Fashion & Retail ,L'Oreal,42.2,https://specials-images.forbesimg.com/imageserve/5a7def7631358e4955ad0a53/416x416.jpg?background=000000&cropX1=192&cropX2=973&cropY1=69&cropY2=849
18,3978,19,Mukesh Ambani,61,Male,None,Energy ,"Petrochemicals, Oil & Gas",40.1,https://specials-images.forbesimg.com/imageserve/5a7f3b7931358e4955ad1a39/416x416.jpg?background=000000&cropX1=5&cropX2=1013&cropY1=214&cropY2=1223
19,7021,20,Jack Ma,53,Male,None,Technology ,E-Commerce,39.0,https://specials-images.forbesimg.com/imageserve/5aa1598031358e79a28b5731/416x416.jpg?background=000000&cropX1=1454&cropX2=3297&cropY1=547&cropY2=2389
