position,name,lastName,age,country,gender,wealthSource,industry,worth,worthChange,realTimeWorth,realTimePosition,image
,Anant Asavabhokhin & family,Asavabhokhin,67,Thailand,M,real estate,Real Estate,,-0.001,,1613,https://specials-images.forbesimg.com/imageserve/5ae0e71ca7ea43127982a6f6/416x416.jpg?background=000000&cropX1=909&cropX2=1588&cropY1=17&cropY2=696
,Arash Ferdowsi,Ferdowsi,32,United States,M,online file storage,Technology,,0.0,,1734,https://specials-images.forbesimg.com/imageserve/5ae0e71ca7ea43127982a6f6/416x416.jpg?background=000000&cropX1=909&cropX2=1588&cropY1=17&cropY2=696
,Banthoon Lamsam & family,Lamsam,65,Thailand,M,banking,Finance and Investments,,0.001,,1952,https://specials-images.forbesimg.com/imageserve/5ad8e8bea7ea432fbc1f6f2f/416x416.jpg?background=000000&cropX1=1091&cropX2=2771&cropY1=434&cropY2=2113
,Bill Adderley & family,Adderley,70,United Kingdom,M,home furnishings,Fashion & Retail,,0.0,,1956,https://specials-images.forbesimg.com/imageserve/5ad8e8bea7ea432fbc1f6f2f/416x416.jpg?background=000000&cropX1=1091&cropX2=2771&cropY1=434&cropY2=2113
,Boris Zingarevich,Zingarevich,58,Russia,M,"pulp and paper, diversified",Diversified,,0.0,,2103,https://specials-images.forbesimg.com/imageserve/5ad8b4844bbe6f2310f30482/416x416.jpg?background=000000&cropX1=1177&cropX2=4510&cropY1=247&cropY2=3577
,Bryan Sheffield,Sheffield,40,United States,M,oil & gas,Energy,,0.0,,2013,https:http://specials-images.forbesimg.com/imageserve/584ebc984bbe6f1f20e8d080/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=84&cropY2=828
,Charles Butt & family,Butt,80,United States,M,supermarkets,Fashion & Retail,,0.0,,140,https:http://specials-images.forbesimg.com/imageserve/584ebc984bbe6f1f20e8d080/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=84&cropY2=828
,Charles Cadogan & family,Cadogan,81,United Kingdom,M,real estate,Real Estate,,0.0,,214,https:http://specials-images.forbesimg.com/imageserve/584ebc984bbe6f1f20e8d080/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=84&cropY2=828
,Chatri Sophonpanich & family,Sophonpanich,84,Thailand,M,banking,Finance and Investments,,0.0,,1726,https://specials-images.forbesimg.com/imageserve/cfcee55f6c0707bdb12d329605e35c7f/416x416.jpg?background=000000&cropX1=153&cropX2=625&cropY1=195&cropY2=667
,Daniel Ek,Ek,35,Sweden,M,Spotify,Technology,,0.001,,811,https:http://specials-images.forbesimg.com/imageserve/57056521e4b0fd7369a3e12a/416x416.jpg?background=000000&cropX1=85&cropX2=691&cropY1=29&cropY2=635
,Daniel Hirschfeld,Hirschfeld,77,United States,M,fashion retail,Fashion & Retail,,0.0,,2135,https:http://specials-images.forbesimg.com/imageserve/57056521e4b0fd7369a3e12a/416x416.jpg?background=000000&cropX1=85&cropX2=691&cropY1=29&cropY2=635
,Daniel Tsai & family,Tsai,,Taiwan,M,finance,Finance and Investments,,-0.001,,159,https:http://specials-images.forbesimg.com/imageserve/57056521e4b0fd7369a3e12a/416x416.jpg?background=000000&cropX1=85&cropX2=691&cropY1=29&cropY2=635
